Bandit,Reward,Algorithm
3,3.1046469388851436,Epsilon Greedy
3,4.463295444021076,Epsilon Greedy
3,5.915103195122828,Epsilon Greedy
3,3.043258362213362,Epsilon Greedy
3,5.122510714479852,Epsilon Greedy
3,3.9354265912834965,Epsilon Greedy
3,3.6021258368989972,Epsilon Greedy
3,4.025253469135215,Epsilon Greedy
3,2.5726183914221634,Epsilon Greedy
3,5.334545049500836,Epsilon Greedy
3,4.699879420310892,Epsilon Greedy
3,4.967636446465895,Epsilon Greedy
3,3.0648938766952107,Epsilon Greedy
3,3.8315618915843705,Epsilon Greedy
3,4.698265903988846,Epsilon Greedy
3,2.1747025444747567,Epsilon Greedy
3,2.6552156760400383,Epsilon Greedy
3,3.2894786018415956,Epsilon Greedy
3,3.998233283916101,Epsilon Greedy
3,6.132385359041826,Epsilon Greedy
3,4.512748511656778,Epsilon Greedy
3,3.522803873182951,Epsilon Greedy
3,4.742521185768556,Epsilon Greedy
3,3.678047005111926,Epsilon Greedy
3,4.390428946766655,Epsilon Greedy
3,4.50159416267666,Epsilon Greedy
3,3.5683094198297396,Epsilon Greedy
3,3.780284404805708,Epsilon Greedy
3,2.1340303456763796,Epsilon Greedy
3,2.097739929364557,Epsilon Greedy
3,3.8232367174641655,Epsilon Greedy
3,4.619056411074375,Epsilon Greedy
3,2.805827041679361,Epsilon Greedy
3,5.292458549604524,Epsilon Greedy
3,4.1414359646421435,Epsilon Greedy
3,3.044357474023148,Epsilon Greedy
3,4.3207647017356905,Epsilon Greedy
3,3.931673938224787,Epsilon Greedy
3,4.191904511830727,Epsilon Greedy
3,2.400024982688133,Epsilon Greedy
3,6.630794591233507,Epsilon Greedy
3,4.271400800311295,Epsilon Greedy
3,4.2726682539785825,Epsilon Greedy
3,2.790418530531837,Epsilon Greedy
3,4.474820591554548,Epsilon Greedy
3,2.8579140573279425,Epsilon Greedy
3,4.520089033816036,Epsilon Greedy
3,3.694343377966698,Epsilon Greedy
3,4.384975339937296,Epsilon Greedy
3,2.9249192934614783,Epsilon Greedy
3,3.2803810768287063,Epsilon Greedy
3,5.30873455652955,Epsilon Greedy
3,5.572158978235997,Epsilon Greedy
3,4.822300128702465,Epsilon Greedy
3,2.9736229172912902,Epsilon Greedy
3,3.350009309392319,Epsilon Greedy
3,5.473242984170249,Epsilon Greedy
3,3.8591622427850556,Epsilon Greedy
3,3.5176980618931206,Epsilon Greedy
3,5.152443755594193,Epsilon Greedy
3,2.8851726180638257,Epsilon Greedy
3,2.4847984958730844,Epsilon Greedy
3,4.070156969091547,Epsilon Greedy
3,3.3141131523421405,Epsilon Greedy
3,5.327793718029877,Epsilon Greedy
3,3.076116773446996,Epsilon Greedy
3,5.195519987340901,Epsilon Greedy
3,4.424317161884047,Epsilon Greedy
3,3.168567924209097,Epsilon Greedy
3,4.854235128025852,Epsilon Greedy
3,3.3169221708099927,Epsilon Greedy
3,3.314381122733103,Epsilon Greedy
3,4.8117552984495084,Epsilon Greedy
3,4.360083440148457,Epsilon Greedy
3,4.443890307562865,Epsilon Greedy
3,3.5370926088220576,Epsilon Greedy
3,2.903012338178928,Epsilon Greedy
3,6.073242861213054,Epsilon Greedy
3,4.075905043879484,Epsilon Greedy
3,4.2218173957743375,Epsilon Greedy
3,4.37780448636142,Epsilon Greedy
3,3.3248530456940446,Epsilon Greedy
3,6.031039159767131,Epsilon Greedy
3,4.269837988206834,Epsilon Greedy
3,3.565671573007024,Epsilon Greedy
3,3.679020340709294,Epsilon Greedy
3,4.066834254956479,Epsilon Greedy
3,3.8974765870696424,Epsilon Greedy
3,2.451561529470804,Epsilon Greedy
3,4.479091269095194,Epsilon Greedy
3,4.335356867179029,Epsilon Greedy
3,4.047061884748663,Epsilon Greedy
3,5.377200307677542,Epsilon Greedy
3,3.4841149824493924,Epsilon Greedy
3,3.1548897561128686,Epsilon Greedy
3,3.675808203447213,Epsilon Greedy
3,3.121850085932963,Epsilon Greedy
3,5.371411013577871,Epsilon Greedy
3,3.371379557032574,Epsilon Greedy
3,4.1015596139417445,Epsilon Greedy
3,3.7600708180932694,Epsilon Greedy
3,4.184943134806995,Epsilon Greedy
3,1.894170315883485,Epsilon Greedy
3,4.205932762579677,Epsilon Greedy
3,4.397964292741145,Epsilon Greedy
3,3.837807029250407,Epsilon Greedy
3,6.212870507084606,Epsilon Greedy
3,4.2033753500072315,Epsilon Greedy
3,3.646497020427089,Epsilon Greedy
3,2.8557565943800016,Epsilon Greedy
3,3.1391412610046627,Epsilon Greedy
3,2.485435319281945,Epsilon Greedy
3,5.764415755898822,Epsilon Greedy
3,6.572346243840766,Epsilon Greedy
3,3.555253238449689,Epsilon Greedy
3,5.948503378422409,Epsilon Greedy
3,3.8082693149487636,Epsilon Greedy
3,2.9871980491604697,Epsilon Greedy
3,1.9180002072869629,Epsilon Greedy
3,2.8097036733970686,Epsilon Greedy
3,4.544207705543482,Epsilon Greedy
3,3.45989445450148,Epsilon Greedy
3,3.9934411051190986,Epsilon Greedy
3,3.282281766671866,Epsilon Greedy
3,4.131235794927849,Epsilon Greedy
3,3.5489329208771827,Epsilon Greedy
3,3.2798428033584908,Epsilon Greedy
3,3.3789011954711947,Epsilon Greedy
3,3.5889892375504107,Epsilon Greedy
3,4.128396568891576,Epsilon Greedy
3,4.460115724833388,Epsilon Greedy
3,4.314451974789411,Epsilon Greedy
3,4.8262661914615315,Epsilon Greedy
3,4.047476847148975,Epsilon Greedy
3,3.2674795639311087,Epsilon Greedy
3,4.096030124710462,Epsilon Greedy
3,2.5239309117006767,Epsilon Greedy
3,3.0237179792861397,Epsilon Greedy
3,4.52748898968788,Epsilon Greedy
3,4.864643695498279,Epsilon Greedy
3,2.2997252439777025,Epsilon Greedy
3,4.1877731062998755,Epsilon Greedy
3,3.382399578602863,Epsilon Greedy
3,4.037831660102969,Epsilon Greedy
3,5.206595982713437,Epsilon Greedy
3,1.7968354489788543,Epsilon Greedy
3,4.544723585634381,Epsilon Greedy
3,2.95907938426659,Epsilon Greedy
3,5.153674905474169,Epsilon Greedy
3,4.241169092118942,Epsilon Greedy
3,2.1732786253700027,Epsilon Greedy
3,4.338419051752254,Epsilon Greedy
3,5.146811774518239,Epsilon Greedy
3,3.481826918931284,Epsilon Greedy
3,3.6691633588246435,Epsilon Greedy
3,3.3277042483014285,Epsilon Greedy
3,2.0582589529792017,Epsilon Greedy
3,3.6915174913048294,Epsilon Greedy
3,3.9325762409402585,Epsilon Greedy
3,5.839896487135357,Epsilon Greedy
3,3.207813592908064,Epsilon Greedy
3,3.6536473324736924,Epsilon Greedy
3,3.412759795751197,Epsilon Greedy
3,3.772951192710787,Epsilon Greedy
3,3.487194368881439,Epsilon Greedy
3,4.389482595262022,Epsilon Greedy
3,3.6091113826176153,Epsilon Greedy
3,4.562992011101287,Epsilon Greedy
3,5.481549383785907,Epsilon Greedy
3,2.793399328312624,Epsilon Greedy
3,4.450067002697052,Epsilon Greedy
3,3.8906768378654384,Epsilon Greedy
3,3.181540588514453,Epsilon Greedy
3,5.585695451001742,Epsilon Greedy
3,2.332161819725099,Epsilon Greedy
3,3.8668870285397525,Epsilon Greedy
3,3.5247901731455094,Epsilon Greedy
3,3.8565322276062877,Epsilon Greedy
3,2.831469064003512,Epsilon Greedy
3,3.6965366903671386,Epsilon Greedy
3,2.715453385240936,Epsilon Greedy
3,5.030589655535001,Epsilon Greedy
3,3.369851697544702,Epsilon Greedy
3,5.639608987531143,Epsilon Greedy
3,3.08752435890057,Epsilon Greedy
3,4.633098186363946,Epsilon Greedy
3,4.746687622356489,Epsilon Greedy
3,4.822567904012248,Epsilon Greedy
3,4.558732776818191,Epsilon Greedy
3,5.124364832238687,Epsilon Greedy
3,4.421088079847342,Epsilon Greedy
3,3.073045407124761,Epsilon Greedy
3,4.597480175071544,Epsilon Greedy
3,4.5625411325128065,Epsilon Greedy
3,3.9187529395610747,Epsilon Greedy
3,3.287569706230134,Epsilon Greedy
3,4.098930150489497,Epsilon Greedy
3,5.95980398730897,Epsilon Greedy
3,4.452489734298621,Epsilon Greedy
3,4.530574659021019,Epsilon Greedy
3,4.565703879251068,Epsilon Greedy
3,1.4487305875753567,Epsilon Greedy
3,5.303754722564523,Epsilon Greedy
3,4.105542516071228,Epsilon Greedy
3,3.677086362946947,Epsilon Greedy
3,5.696769895510336,Epsilon Greedy
3,5.116022826302904,Epsilon Greedy
3,3.0276344443435885,Epsilon Greedy
3,3.063643110696385,Epsilon Greedy
3,5.32116829130682,Epsilon Greedy
3,3.316901566966643,Epsilon Greedy
3,3.5120092898916435,Epsilon Greedy
3,4.874334861305529,Epsilon Greedy
3,6.3210718915595745,Epsilon Greedy
3,3.866340694045622,Epsilon Greedy
